English,Positiv,Komparativ,Superlativ
bad,dårlig,værre,værst
few,få,færre,færrest
good,god,bedre,bedst
many,mange,flere,flest
much,meget,mere,mest
old,gammel,ældre,ældst
small,lille,mindre,mindst
young,ung,yngre,yngst
big,stor,større,størst
beautiful,smuk,smukkere,smukkest
cold,kold,koldere,koldest
difficult,svær,sværere,sværest
easy,nem,nemmere,nemmest
fast,hurtig,hurtigere,hurtigst
long,lang,længere,længst
low/short,lav,lavere,lavest
new,ny,nyere,nyest
poor,fattig,fattigere,fattigst
rich,rig,rigere,rigest
short,kort,kortere,kortest
slow,langsom,langsommere,langsomst
tall/high,høj,højere,højest
ugly,grim,grimmere,grimmest
warm,varm,varmere,varmest
