English,Navneform,Ental Ubestemt,Ental Bestemt,Flertal Ubestemt,Flertal Bestemt
adventure,eventyr,et eventyr,eventyret,eventyr,eventyrerne
advice/council,råd,et råd,rådet,råd,rådene
animal,dyr,et dyr,dyret,dyr,dyrene
berries,bær,et bær,bæret,bær,bærene
book,bog,en bog,bogen,bøger,bøgerne
bread,brød,et brød,brødet,brød,brødene
brother,bror,en bror,broren,brødre,brødrene
ceiling,loft,et loft,loftet,lofter,lofterne
child,barn,et barn,barnet,børn,børnene
compendium,kompendium,et kompendium,kompendiet,kompendier,kompendierne
