English,Navneform,Ental Ubestemt,Ental Bestemt,Flertal Ubestemt,Flertal Bestemt
picture,billede,et billede,billedet,billeder,billederne
place,sted,et sted,stedet,steder,stederne
plant,plante,en plante,planten,planter,planterne
plate,tallerken,en tallerken,tallerkenen,tallerkener,tallerkenerne
restaurant,restaurant,en restaurant,restauranten,restauranter,restauranterne
road,vej,en vej,vejen,veje,vejene
rooster,hane,en hane,hanen,haner,hanerne
school,skole,en skole,skolen,skoler,skolerne
ship,skib,et skib,skibet,skibe,skibene
shop,butik,en butik,butikken,butikker,butikkerne
