English,Navneform,Ental Ubestemt,Ental Bestemt,Flertal Ubestemt,Flertal Bestemt
adventure,eventyr,et eventyr,eventyret,eventyr,eventyrerne
advice/council,råd,et råd,rådet,råd,rådene
anchor,anker,et anker,ankeret,ankre,ankrene
animal,dyr,et dyr,dyret,dyr,dyrene
bag,taske,en taske,tasken,tasker,taskerne
baker,bæger,et bæger,bægeret,bægre,bægrene
basket,kurv,en kurv,kurven,kurve,kurvene
bicycle,cykel,en cykel,cyklen,cykler,cyklerne
book,bog,en bog,bogen,bøger,bøgerne
book,bog,en bog,bogen,bøger,bøgerne
boy,dreng,en dreng,drengen,drenge,drengene
bread,brød,et brød,brødet,brød,brødene
broom,kost,en kost,kosten,koste,kostene
brother,bror,en bror,broren,brødre,brødrene
cafe,cafe,en cafe,cafeen,cafeer,cafeerne
candlestick,lysestage,en lysestage,lysestagen,lysestager,lysestagerne
car,bil,en bil,bilen,biler,bilerne
cat,kat,en kat,katten,katte,kattene
ceiling,loft,et loft,loftet,lofter,lofterne
center,centrum,et centrum,centret,centre,centrene
