English,Bydeform,Navneform,Nutil,Datid,Perfektum
to carry,bær,at bære,bærer,bar,båret
to begin,begynd,at begynde,begynder,begyndte,begyndt
to pay,betal,at betale,betaler,betalte,betalt
to become,bliv,at blive,bliver,blev,blevet
to bring,bring,at bringe,bringer,bragte,bragt
to use,brug,at bruge,bruger,brugte,brugt
to break,bryd,at bryde,bryder,brød,brudt
to die,dø,at dø,dør,døde,død
to drink,drikk,at drikke,drikker,drak,drukket
to get/receive,få,at få,får,fik,fået
to fall,fald,at falde,falder,faldt,faldet
to find,find,at finde,finder,fandt,fundet
to feel,føl,at føle,føler,følte,følt
to follow,følg,at følge,følger,fulgte,fulgt
to stay/remain,forbliv,at forblive,forbliver,forblev,forblevet
to understand,forstå,at forstå,forstår,forstod,forstået
to go,gå,at gå,går,gik,gået
to give,giv,at give,giver,gav,givet
to forget,glemm,at glemme,glemmer,glemte,glemt
to do/make,gør,at gøre,gør,gjorde,gjort
to cry,græd,at græde,græder,græd,grædt
to have,hav,at have,har,havde,haft
to help,hjælp,at hjælpe,hjælper,hjalp,hjulpet
to hold,hold,at holde,holder,holdt,holdt
to hear,hør,at høre,hører,hørte,hørt
to call (name),kald,at kalde,kalder,kaldte,kaldt
to know (be acquainted),kend,at kende,kender,kendte,kendt
to buy,køb,at købe,køber,købte,købt
to come,komm,at komme,kommer,kom,kommet
to drive,kør,at køre,kører,kørte,kørt
to can/be able,kun,at kunne,kan,kunne,kunnet
to let/allow,lad,at lade,lader,lod,ladet
to learn,lær,at lære,lærer,lærte,lært
to read,læs,at læse,læser,læste,læst
to lie (position),ligg,at ligge,ligger,lå,ligget
to run,løb,at løbe,løber,løb,løbet
to must,må,at måtte,må,måtte,måttet
to mean,men,at mene,mener,mente,ment
to meet,mød,at møde,møder,mødte,mødt
to receive,modtag,at modtage,modtager,modtog,modtaget
to travel,rejs,at rejse,rejser,rejste,rejst
to mix,rør,at røre,rører,rørte,rørt
to sell,sælg,at sælge,sælger,solgte,solgt
to put/place,sætt,at sætte,sætter,satte,sat
to see,se,at se,ser,så,set
to send,send,at sende,sender,sendte,sendt
to sit,sidd,at sidde,sidder,sad,siddet
to say,sig,at sige,siger,sagde,sagt
to create,skab,at skabe,skaber,skabte,skabt
to cut,skær,at skære,skærer,skar,skåret
to write,skriv,at skrive,skriver,skrev,skrevet
to shall/should,skal,at skulle,skal,skulle,skullet
to sleep,sov,at sove,sover,sov,sovet
to eat,spis,at spise,spiser,spiste,spist
to hit,slå,at slå,slår,slog,slået
to stand,stå,at stå,står,stod,stået
to sing,syng,at synge,synger,sang,sunget
to lose,tab,at tabe,taber,tabte,tabt
to think,tænk,at tænke,tænker,tænkte,tænkt
to take,tag,at tage,tager,tog,taget
to speak,tal,at tale,taler,talte,talt
to pull,trækk,at trække,trækker,trak,trukket
to need,træng,at trænge,trænger,trængte,trængt
to believe,tro,at tro,tror,trodde,troet
to teach,undervis,at undervise,underviser,underviste,undervist
to choose,vælg,at vælge,vælger,valgte,valgt
to be,vær,at være,er,var,været
to know (a fact),vid,at vide,ved,vidste,vidst
to want,vil,at ville,vil,ville,villet
to win,vind,at vinde,vinder,vandt,vundet
to show,vis,at vise,viser,viste,vist
