English,Bydeform,Navneform,Nutil,Datid,Perfektum
to speak,tal,at tale,taler,talte,talt
to pull,trækk,at trække,trækker,trak,trukket
to need,træng,at trænge,trænger,trængte,trængt
to believe,tro,at tro,tror,trodde,troet
to teach,undervis,at undervise,underviser,underviste,undervist
to choose,vælg,at vælge,vælger,valgte,valgt
to be,vær,at være,er,var,været
to know (a fact),vid,at vide,ved,vidste,vidst
to want,vil,at ville,vil,ville,villet
to win,vind,at vinde,vinder,vandt,vundet
to show,vis,at vise,viser,viste,vist
