English,Bydeform,Navneform,Nutid,Datid,Perfektum
to wait/expect,forvent,at forvente,forventer,forventede,forventet
to laugh,grin,at grine,griner,grinede,grinet
to hope,håb,at håbe,håber,håbede,håbet
to remember,husk,at huske,husker,huskede,husket
to look/watch,kigg,at kigge,kigger,kiggede,kigget
to cut,klipp,at klippe,klipper,klippede,klippet
to cook,lav,at lave,laver,lavede,lavet
to play,leg,at lege,leger,legede,leget
to close,lukk,at lukke,lukker,lukkede,lukket
to listen,lytt,at lytte,lytter,lyttede,lyttet
