English,Bydeform,Navneform,Nutid,Datid,Perfektum
to be,vær,at være,er,var,været
to have,hav,at have,har,havde,haft
to do/make,gør,at gøre,gør,gjorde,gjort
to say,sig,at sige,siger,sagde,sagt
to go,gå,at gå,går,gik,gået
to come,kom,at komme,kommer,kom,kommet
to see,se,at se,ser,så,set
to hear,hør,at høre,hører,hørte,hørt
to speak,tal,at tale,taler,talte,talt
to eat,spis,at spise,spiser,spiste,spist
to drink,drikk,at drikke,drikker,drak,drukket
to write,skriv,at skrive,skriver,skrev,skrevet
to read,læs,at læse,læser,læste,læst
to take,tag,at tage,tager,tog,taget
to give,giv,at give,giver,gav,givet
to get/receive,få,at få,får,fik,fået
to know (a fact),vid,at vide,ved,vidste,vidst
to know (be acquainted),kend,at kende,kender,kendte,kendt
to live,bo,at bo,bor,boede,boet
to work,arbejd,at arbejde,arbejder,arbejdede,arbejdet
